policy,slot,n_seeds,wait_mean_mean,wait_mean_p2.5,wait_mean_p97.5,wait_p95_mean,wait_p95_p2.5,wait_p95_p97.5,p_wait_le_2_mean,p_wait_le_2_p2.5,p_wait_le_2_p97.5,p_wait_le_5_mean,p_wait_le_5_p2.5,p_wait_le_5_p97.5,p_overtime_mean,p_overtime_p2.5,p_overtime_p97.5,overtime_mean_min_mean,overtime_mean_min_p2.5,overtime_mean_min_p97.5,overtime_p95_min_mean,overtime_p95_min_p2.5,overtime_p95_min_p97.5,util_m0_mean,util_m0_p2.5,util_m0_p97.5,util_m1_mean,util_m1_p2.5,util_m1_p97.5
new,q90,20,1.000282844728053,1.0,1.0009757769407421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08420000000000001,0.055799999999999995,0.11009999999999999,3.349624308939621,1.5792798150928238,4.934173280013568,20.33684186382034,5.309176427315657,33.33622105993684,0.8053127789584844,0.7937721845232715,0.82193122673666,0.7430323477502243,0.7316704739572647,0.7572903264428607
new,q95,20,1.0022487770474593,1.0008924308873253,1.003617557844244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10220000000000003,0.0756,0.14039999999999997,3.3337180478237243,2.060762528184834,4.730827521504779,23.70180969943521,13.492717749559004,35.35648340293843,0.8071399573220335,0.7953992061664948,0.8223652125575508,0.7444712640520557,0.7328401349609623,0.7578362774424855
old,q90,20,11.024099826257038,7.5827792595415,14.294250655093947,30.05,20.375,38.525,0.40485212058201697,0.3788773895308567,0.44000588371887245,0.46414143723467227,0.4137270849114598,0.5080955669717249,0.012400000000000001,0.005900000000000001,0.022099999999999995,0.1298342228301201,0.018057031132900227,0.3561930897748551,0.0,0.0,0.0,0.711389070641629,0.7074498380733023,0.7146814375699622,0.74730704627183,0.7385008321562178,0.7577631679602677
old,q95,20,36.49536739861538,33.10683043947446,40.23938790224126,71.55,62.9,81.67499999999998,0.02293859093988741,0.01696529622367224,0.032324109578730886,0.06523813781189582,0.05242093873337047,0.08491587515033622,0.0002,0.0,0.0020999999999999942,6.696807706907748e-06,0.0,7.031648092253116e-05,0.0,0.0,0.0,0.616994629275986,0.6125298284591537,0.6204172686851367,0.6006030506015473,0.5957460248956582,0.6075726426862262
